select customer_id , amount,
Rank() OVER( PARTITION BY customer_id ORDER BY amount desc) RankAmount
from payment
order by customer_id asc

C_ID	Amount	Rank
1	9.99	1
1	7.99	2
1	5.99	3
1	5.99	3
1	5.99	3
1	5.99	3
1	4.99	7
1	4.99	7
1	4.99	7
1	4.99	7
1	4.99	7
1	4.99	7
1	4.99	7
1	4.99	7
1	3.99	15
1	3.99	15
1	2.99	17
1	2.99	17
1	2.99	17
1	2.99	17
1	2.99	17
1	1.99	22
1	0.99	23
1	0.99	23
1	0.99	23
1	0.99	23
1	0.99	23
1	0.99	23
1	0.99	23
1	0.99	23
2	10.99	1
2	6.99	2
2	6.99	2
2	6.99	2
2	6.99	2
2	5.99	6
2	5.99	6
2	5.99	6
2	5.99	6
2	5.99	6
2	5.99	6
2	4.99	12
2	4.99	12
2	4.99	12
2	4.99	12
2	4.99	12
2	2.99	17
2	2.99	17
2	2.99	17
2	2.99	17
2	2.99	17
2	2.99	17
2	2.99	17
2	0.99	24
2	0.99	24
2	0.99	24
3	10.99	1
3	8.99	2
3	8.99	2
3	8.99	2
3	7.99	5
3	6.99	6
3	6.99	6
3	6.99	6
3	5.99	9
3	5.99	9
3	4.99	11
3	4.99	11
3	4.99	11
3	4.99	11
3	4.99	11
3	4.99	11
3	3.99	17
3	2.99	18
3	2.99	18
3	2.99	18
3	2.99	18
3	2.99	18
3	1.99	23
3	0.99	24
4	8.99	1
4	6.99	2
4	5.99	3
4	5.99	3
4	5.99	3
4	4.99	6
4	4.99	6
4	4.99	6
4	3.99	9
4	2.99	10
4	2.99	10
4	2.99	10
4	2.99	10
4	2.99	10
4	2.99	10
4	2.99	10
4	1.99	17
4	1.99	17
4	0.99	19
4	0.99	19
4	0.99	19
4	0.99	19
5	9.99	1
5	8.99	2
5	6.99	3
5	6.99	3
5	5.99	5
5	4.99	6
5	4.99	6
5	4.99	6
5	4.99	6
5	4.99	6
5	4.99	6
5	4.99	6
5	4.99	6
5	4.99	6
5	3.99	15
5	3.99	15
5	3.99	15
5	3.99	15
5	3.99	15
5	2.99	20
5	2.99	20
5	2.99	20
5	2.99	20
5	2.99	20
5	2.99	20
5	1.99	26
5	1.99	26
5	1.99	26
5	0.99	29
5	0.99	29
5	0.99	29
5	0.99	29
5	0.99	29
5	0.99	29
5	0.99	29
6	7.99	1
6	7.99	1
6	6.99	3
6	6.99	3
6	5.99	5
6	5.99	5
6	4.99	7
6	3.99	8
6	3.99	8
6	2.99	10
6	2.99	10
6	2.99	10
6	2.99	10
6	2.99	10
6	2.99	10
6	2.99	10
6	0.99	17
6	0.99	17
6	0.99	17
6	0.99	17
6	0.99	17
6	0.99	17
6	0.99	17
6	0.99	17
6	0.99	17
7	8.99	1
7	8.99	1
7	7.99	3
7	7.99	3
7	7.99	3
7	6.99	6
7	5.99	7
7	5.99	7
7	5.99	7
7	5.99	7
7	5.99	7
7	4.99	12
7	4.99	12
7	4.99	12
7	4.99	12
7	3.99	16
7	3.99	16
7	2.99	18
7	2.99	18
7	2.99	18
7	2.99	18
7	2.99	18
7	2.99	18
7	1.99	24
7	0.99	25
7	0.99	25
7	0.99	25
7	0.99	25
8	9.99	1
8	7.99	2
8	5.99	3
8	5.99	3
8	4.99	5
8	4.99	5
8	4.99	5
8	3.99	8
8	3.99	8
8	2.99	10
8	2.99	10
8	2.99	10
8	2.99	10
8	2.99	10
8	2.99	10
8	2.99	10
8	2.99	10
8	2.99	10
8	1.99	19
8	0.99	20
8	0.99	20
8	0.99	20
8	0.99	20
9	7.99	1
9	7.99	1
9	5.99	3
9	5.99	3
9	4.99	5
9	4.99	5
9	4.99	5
9	4.99	5
9	4.99	5
9	4.99	5
9	2.99	11
9	2.99	11
9	2.99	11
9	2.99	11
9	2.99	11
9	1.99	16
9	0.99	17
9	0.99	17
9	0.99	17
9	0.99	17
10	8.99	1
10	7.99	2
10	6.99	3
10	5.99	4
10	4.99	5
10	4.99	5
10	4.99	5
10	4.99	5
10	4.99	5
10	4.99	5
10	3.99	11
10	3.99	11
10	2.99	13
10	2.99	13
10	2.99	13
10	2.99	13
10	2.99	13
10	2.99	13
10	2.99	13
10	1.99	20
10	0.99	21
10	0.99	21
10	0.99	21
10	0.99	21
11	9.99	1
11	7.99	2
11	6.99	3
11	6.99	3
11	6.99	3
11	6.99	3
11	5.99	7
11	5.99	7
11	4.99	9
11	4.99	9
11	4.99	9
11	4.99	9
11	4.99	9
11	2.99	14
11	2.99	14
11	2.99	14
11	1.99	17
11	0.99	18
11	0.99	18
11	0.99	18
11	0.99	18
11	0.99	18
11	0.99	18
12	10.99	1
12	5.99	2
12	5.99	2
12	5.99	2
12	5.99	2
12	5.99	2
12	5.99	2
12	4.99	8
12	4.99	8
12	4.99	8
12	4.99	8
12	3.99	12
12	3.99	12
12	2.99	14
12	2.99	14
12	2.99	14
12	0.99	17
12	0.99	17
12	0.99	17
12	0.99	17
12	0.99	17
12	0.99	17
12	0.99	17
12	0.99	17
12	0.99	17
12	0.99	17
13	11.99	1
13	9.99	2
13	9.99	2
13	8.99	4
13	8.99	4
13	7.99	6
13	7.99	6
13	7.99	6
13	5.99	9
13	4.99	10
13	4.99	10
13	4.99	10
13	4.99	10
13	4.99	10
13	2.99	15
13	2.99	15
13	2.99	15
13	2.99	15
13	2.99	15
13	2.99	15
13	2.99	15
13	0.99	22
13	0.99	22
13	0.99	22
13	0.99	22
13	0.99	22
13	0.99	22
14	7.99	1
14	7.99	1
14	6.99	3
14	6.99	3
14	6.99	3
14	4.99	6
14	4.99	6
14	4.99	6
14	4.99	6
14	4.99	6
14	4.99	6
14	4.99	6
14	3.99	13
14	3.99	13
14	2.99	15
14	2.99	15
14	2.99	15
14	2.99	15
14	0.99	19
14	0.99	19
14	0.99	19
14	0.99	19
14	0.99	19
15	8.99	1
15	8.99	1
15	7.99	3
15	7.99	3
15	6.99	5
15	5.99	6
15	5.99	6
15	5.99	6
15	5.99	6
15	4.99	10
15	4.99	10
15	4.99	10
15	4.99	10
15	4.99	10
15	3.99	15
15	3.98	16
15	2.99	17
15	2.99	17
15	2.99	17
15	2.99	17
15	2.99	17
15	2.99	17
15	2.99	17
15	2.99	17
15	2.99	17
15	2.99	17
15	2.99	17
15	0.99	28
15	0.99	28
15	0.99	28
15	0.99	28
15	0.00	32
16	8.99	1
16	7.99	2
16	7.99	2
16	7.99	2
16	6.99	5
16	6.99	5
16	5.99	7
16	5.99	7
16	4.99	9
16	4.99	9
16	4.99	9
16	4.99	9
16	4.99	9
16	3.99	14
16	2.99	15
16	2.99	15
16	2.99	15
16	2.99	15
16	2.99	15
16	1.99	20
16	0.99	21
16	0.99	21
16	0.99	21
16	0.99	21
16	0.99	21
17	8.99	1
17	8.99	1
17	8.99	1
17	8.99	1
17	5.99	5
17	5.99	5
17	5.99	5
17	4.99	8
17	3.99	9
17	3.99	9
17	2.99	11
17	2.99	11
17	2.99	11
17	2.99	11
17	2.99	11
17	2.99	11
17	1.99	17
17	0.99	18
18	8.99	1
18	5.99	2
18	5.99	2
18	4.99	4
18	4.99	4
18	4.99	4
18	4.99	4
18	4.99	4
18	4.99	4
18	4.99	4
18	3.99	11
18	3.99	11
18	3.99	11
18	2.99	14
18	2.99	14
18	1.99	16
18	0.99	17
18	0.99	17
18	0.99	17
19	9.99	1
19	9.99	1
19	8.99	3
19	8.99	3
19	8.99	3
19	7.99	6
19	5.99	7
19	5.99	7
19	4.99	9
19	4.99	9
19	4.99	9
19	2.99	12
19	2.99	12
19	2.99	12
19	2.99	12
19	2.99	12
19	0.99	17
19	0.99	17
20	7.99	1
20	6.99	2
20	6.99	2
20	5.99	4
20	4.99	5
20	4.99	5
20	4.99	5
20	4.99	5
20	4.99	5
20	4.99	5
20	4.99	5
20	3.99	12
20	3.99	12
20	3.99	12
20	2.99	15
20	2.99	15
20	2.99	15
20	2.99	15
20	2.99	15
20	2.99	15
20	2.99	15
20	1.99	22
20	1.99	22
20	0.99	24
20	0.99	24
20	0.99	24
20	0.99	24
21	10.99	1
21	9.99	2
21	8.99	3
21	8.99	3
21	7.99	5
21	6.99	6
21	6.99	6
21	5.99	8
21	4.99	9
21	4.99	9
21	4.99	9
21	4.99	9
21	4.99	9
21	4.99	9
21	4.99	9
21	4.99	9
21	4.99	9
21	3.99	18
21	2.99	19
21	2.99	19
21	2.99	19
21	2.99	19
21	2.99	19
21	2.99	19
21	2.99	19
21	2.99	19
21	1.99	27
21	0.99	28
21	0.99	28
21	0.99	28
21	0.99	28
21	0.99	28
22	9.99	1
22	7.99	2
22	7.99	2
22	6.99	4
22	6.99	4
22	6.99	4
22	5.99	7
22	4.99	8
22	4.99	8
22	4.99	8
22	4.99	8
22	4.99	8
22	2.99	13
22	2.99	13
22	2.99	13
